frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face
0,1,Unknown,0.0,593.3640003204346,frontal,0.7,False,0,0
2,1,Unknown,0.0,108.92534255981445,frontal,0.7,False,0,0
4,1,Unknown,0.0,106.23693466186523,profile,0.5,False,0,0
6,1,Unknown,0.0,106.11605644226074,frontal,0.7,False,0,0
8,1,Unknown,0.0,100.44264793395996,frontal,0.7,False,0,0
10,1,Unknown,0.0,112.64395713806152,frontal,0.7,False,0,0
12,1,Unknown,0.0,251.07431411743164,frontal,0.7,False,0,0
14,1,Unknown,0.0,151.1836051940918,frontal,0.7,False,0,0
16,1,Myke,0.8729358826939061,108.60729217529297,frontal,0.7,True,0,0
18,1,Myke,0.8720159599278937,82.44991302490234,frontal,0.7,True,0,0
20,1,Myke,0.8275412907242558,69.62156295776367,frontal,0.7,True,0,0
22,1,Myke,0.8989099800859884,84.85770225524902,frontal,0.7,True,0,0
24,1,Myke,0.8246311720921821,77.23188400268555,frontal,0.7,True,0,0
26,1,Myke,0.7429170678224442,83.10985565185547,frontal,0.7,True,0,0
28,1,Myke,0.9215376915208207,78.06658744812012,frontal,0.7,True,0,0
30,1,Myke,0.9083335608146965,83.21595191955566,frontal,0.7,True,0,0
32,1,Myke,0.856073030048375,78.93705368041992,frontal,0.7,True,0,0
34,1,Myke,0.8731944906493425,106.7647933959961,frontal,0.7,True,0,0
36,1,Myke,0.8699956881652637,71.00582122802734,frontal,0.7,True,0,2
38,1,Myke,0.8668061881131588,103.52635383605957,profile,0.5,True,0,4
40,1,Myke,0.8636259660785095,120.61834335327148,frontal,0.7,True,0,6
42,1,Myke,0.8604549977072463,85.4654312133789,frontal,0.7,True,0,8
44,1,Myke,0.8572932587056039,105.88884353637695,frontal,0.7,True,0,10
46,1,Myke,0.8541407248399773,65.99926948547363,frontal,0.7,True,0,12
48,1,Myke,0.8509973719367783,77.43310928344727,frontal,0.7,True,0,14
50,1,Myke,0.8782637295536396,76.42412185668945,frontal,0.7,True,0,0
52,1,Myke,0.8750463567577081,69.99683380126953,frontal,0.7,True,0,2
54,1,Myke,0.8777778482901927,93.34731101989746,partial_back,0.5,True,1,4
56,1,Myke,0.8745573723718837,56.77986145019531,frontal,0.7,True,1,6
58,1,Myke,0.8772824228280238,77.28743553161621,partial_back,0.5,True,2,8
60,1,Myke,0.8800134869114589,46.84090614318848,partial_back,0.5,True,3,10
62,1,Myke,0.8827505595819785,57.48486518859863,partial_back,0.5,True,4,12
64,1,Myke,0.9095005765390082,85.30759811401367,partial_back,0.5,True,0,0
