frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face,ground_truth
0,1,Unknown,0.0,389.8911476135254,partial_back,0.5,False,1,0,
0,2,Unknown,0.0,237.6718521118164,back_view,0.8999999999999999,False,1,0,
2,1,Unknown,0.0,56.9148063659668,partial_back,0.5,False,2,0,
2,2,Unknown,0.0,44.50225830078125,back_view,0.7,False,2,0,
4,1,Unknown,0.0,47.13940620422363,partial_back,0.5,False,3,0,
4,2,Unknown,0.0,36.974430084228516,back_view,0.7,False,3,0,
6,1,Unknown,0.0,88.85312080383301,partial_back,0.5,False,4,0,
6,2,Unknown,0.0,89.12444114685059,back_view,0.7,False,3,0,
8,1,Unknown,0.0,103.91998291015625,partial_back,0.5,False,5,0,
8,2,Unknown,0.0,61.49411201477051,back_view,0.7,False,4,2,
10,1,Unknown,0.0,80.42073249816895,partial_back,0.5,False,6,0,
10,2,Unknown,0.0,42.4036979675293,back_view,0.7,False,5,4,
12,1,Unknown,0.0,80.66201210021973,partial_back,0.5,False,7,0,
12,2,Unknown,0.0,45.06063461303711,back_view,0.7,False,6,6,
14,1,Unknown,0.0,87.65339851379395,partial_back,0.5,False,8,0,
14,2,Unknown,0.0,40.015459060668945,back_view,0.7,False,7,8,
16,1,Unknown,0.0,67.58379936218262,partial_back,0.5,False,9,0,
16,2,Unknown,0.0,55.95993995666504,back_view,0.7,False,8,10,
18,1,Unknown,0.0,47.28984832763672,partial_back,0.5,False,10,0,
18,2,Unknown,0.0,26.895523071289062,back_view,0.7,False,9,12,
20,1,Unknown,0.0,43.23744773864746,partial_back,0.5,False,11,0,
20,2,Unknown,0.0,37.383317947387695,back_view,0.7,False,10,14,
22,1,Unknown,0.0,47.75571823120117,partial_back,0.5,False,12,0,
22,2,Unknown,0.0,45.900583267211914,profile,0.5,False,0,16,
24,1,Unknown,0.0,43.904781341552734,partial_back,0.5,False,13,0,
24,2,Unknown,0.0,38.466453552246094,back_view,0.7,False,1,18,
24,3,Unknown,0.0,65.95039367675781,partial_back,0.5,False,1,0,
26,1,Unknown,0.0,28.695106506347656,partial_back,0.5,False,14,0,
26,2,Unknown,0.0,29.204845428466797,back_view,0.7,False,2,20,
26,3,Unknown,0.0,37.212371826171875,frontal,0.7,False,0,0,
28,1,Unknown,0.0,42.414188385009766,partial_back,0.5,False,15,0,
28,2,Unknown,0.0,32.69648551940918,back_view,0.7,False,3,22,
28,3,Unknown,0.0,29.375314712524414,frontal,0.7,False,0,0,
30,1,Unknown,0.0,69.04768943786621,partial_back,0.5,False,16,0,
30,2,Unknown,0.0,87.64839172363281,back_view,0.7,False,4,24,
30,3,Unknown,0.0,28.707265853881836,partial_back,0.5,False,1,0,
32,1,Unknown,0.0,55.31573295593262,partial_back,0.5,False,17,0,
32,2,Unknown,0.0,35.22539138793945,back_view,0.7,False,5,26,
32,3,Unknown,0.0,40.62652587890625,partial_back,0.5,False,2,0,
34,1,Unknown,0.0,48.45404624938965,partial_back,0.5,False,18,0,
34,2,Unknown,0.0,29.097557067871094,profile,0.5,False,0,28,
34,3,Unknown,0.0,26.330232620239258,partial_back,0.5,False,3,0,
36,1,Unknown,0.0,53.21455001831055,partial_back,0.5,False,19,0,
36,2,Unknown,0.0,41.9461727142334,profile,0.5,False,0,30,
36,3,Unknown,0.0,35.11786460876465,partial_back,0.5,False,4,0,
38,1,Unknown,0.0,38.09475898742676,partial_back,0.5,False,20,0,
38,2,Unknown,0.0,33.93983840942383,profile,0.5,False,0,32,
38,3,Unknown,0.0,43.40791702270508,partial_back,0.5,False,5,0,
40,1,Unknown,0.0,39.72053527832031,partial_back,0.5,False,21,0,
40,2,Unknown,0.0,64.35823440551758,profile,0.5,False,0,34,
40,3,Unknown,0.0,81.40325546264648,partial_back,0.5,False,6,0,
42,1,Unknown,0.0,66.78605079650879,partial_back,0.5,False,22,0,
42,2,Unknown,0.0,82.03816413879395,profile,0.5,False,0,36,
42,3,Unknown,0.0,107.42735862731934,partial_back,0.5,False,7,0,
44,1,Unknown,0.0,99.99942779541016,partial_back,0.5,False,23,0,
44,2,Unknown,0.0,106.14943504333496,profile,0.5,False,0,38,
44,3,Unknown,0.0,88.69147300720215,partial_back,0.5,False,8,0,
46,1,Unknown,0.0,79.04458045959473,partial_back,0.5,False,24,0,
46,2,Unknown,0.0,87.15701103210449,profile,0.5,False,0,40,
46,3,Unknown,0.0,109.46774482727051,partial_back,0.5,False,9,0,
48,1,Unknown,0.0,60.3947639465332,partial_back,0.5,False,25,0,
48,2,Unknown,0.0,105.97562789916992,partial_back,0.5,False,1,42,
50,1,Unknown,0.0,36.33618354797363,partial_back,0.5,False,26,0,
50,2,Unknown,0.0,59.83161926269531,partial_back,0.5,False,2,44,
52,1,Unknown,0.0,51.6047477722168,partial_back,0.5,False,27,0,
52,2,Unknown,0.0,31.27455711364746,partial_back,0.5,False,3,46,
54,1,Unknown,0.0,24.26004409790039,partial_back,0.5,False,28,0,
54,2,Unknown,0.0,41.7635440826416,partial_back,0.5,False,4,48,
54,4,Unknown,0.0,31.530380249023438,profile,0.5,False,0,0,
56,1,Unknown,0.0,51.94091796875,partial_back,0.5,False,29,0,
56,4,Unknown,0.0,33.68496894836426,profile,0.5,False,0,0,
56,3,Unknown,0.0,41.88680648803711,partial_back,0.5,False,10,0,
58,1,Unknown,0.0,36.05914115905762,partial_back,0.5,False,30,0,
58,4,Unknown,0.0,42.52457618713379,profile,0.5,False,0,0,
58,3,Unknown,0.0,32.08756446838379,partial_back,0.5,False,11,0,
60,1,Unknown,0.0,37.92715072631836,partial_back,0.5,False,31,0,
60,4,Unknown,0.0,21.868228912353516,profile,0.5,False,0,0,
60,3,Unknown,0.0,45.47238349914551,partial_back,0.5,False,12,0,
62,1,Unknown,0.0,36.55290603637695,partial_back,0.5,False,32,0,
62,4,Unknown,0.0,37.58883476257324,back_view,0.7,False,1,0,
62,3,Unknown,0.0,13.462543487548828,partial_back,0.5,False,13,0,
64,1,Unknown,0.0,34.1646671295166,partial_back,0.5,False,33,0,
64,4,Unknown,0.0,33.210039138793945,profile,0.5,False,0,0,
64,3,Unknown,0.0,13.375282287597656,partial_back,0.5,False,14,0,
66,1,Unknown,0.0,38.105010986328125,partial_back,0.5,False,34,0,
66,4,Unknown,0.0,31.17084503173828,back_view,0.7,False,1,0,
66,3,Unknown,0.0,33.109426498413086,partial_back,0.5,False,15,0,
68,1,Unknown,0.0,46.25105857849121,partial_back,0.5,False,35,0,
68,4,Unknown,0.0,37.29748725891113,back_view,0.7,False,2,0,
68,3,Unknown,0.0,21.017074584960938,partial_back,0.5,False,16,0,
70,1,Unknown,0.0,49.27206039428711,partial_back,0.5,False,36,0,
70,4,Unknown,0.0,35.880327224731445,back_view,0.7,False,3,0,
70,3,Unknown,0.0,27.11772918701172,back_view,0.8999999999999999,False,17,0,
72,1,Unknown,0.0,41.063785552978516,partial_back,0.5,False,37,0,
72,4,Unknown,0.0,31.818389892578125,profile,0.5,False,0,0,
72,3,Unknown,0.0,20.496368408203125,back_view,0.8999999999999999,False,18,0,
74,1,Unknown,0.0,37.70947456359863,back_view,0.8999999999999999,False,38,0,
74,4,Unknown,0.0,34.227609634399414,profile,0.5,False,0,0,
74,3,Unknown,0.0,23.020505905151367,partial_back,0.5,False,19,0,
76,1,Unknown,0.0,34.332990646362305,partial_back,0.5,False,39,0,
76,4,Unknown,0.0,30.37405014038086,profile,0.5,False,0,0,
76,3,Unknown,0.0,17.934083938598633,partial_back,0.5,False,20,0,
78,1,Unknown,0.0,32.018184661865234,partial_back,0.5,False,40,0,
78,4,Unknown,0.0,30.839204788208008,profile,0.5,False,0,0,
78,3,Unknown,0.0,19.657135009765625,partial_back,0.5,False,21,0,
80,1,Unknown,0.0,39.52741622924805,partial_back,0.5,False,41,0,
80,4,Unknown,0.0,33.84733200073242,profile,0.5,False,0,0,
80,3,Unknown,0.0,32.93299674987793,partial_back,0.5,False,22,0,
82,1,Unknown,0.0,40.33207893371582,partial_back,0.5,False,42,0,
82,4,Unknown,0.0,48.882484436035156,partial_back,0.5,False,1,0,
82,3,Unknown,0.0,18.71633529663086,partial_back,0.5,False,23,0,
84,1,Unknown,0.0,34.7900390625,partial_back,0.5,False,43,0,
84,4,Unknown,0.0,60.570478439331055,back_view,0.8999999999999999,False,2,0,
84,3,Unknown,0.0,19.884824752807617,partial_back,0.5,False,24,0,
86,1,Unknown,0.0,51.77450180053711,partial_back,0.5,False,44,0,
86,4,Unknown,0.0,61.356544494628906,back_view,0.7,False,3,0,
86,3,Unknown,0.0,17.662525177001953,partial_back,0.5,False,25,0,
88,1,Unknown,0.0,32.186031341552734,partial_back,0.5,False,45,0,
88,4,Unknown,0.0,60.10699272155762,back_view,0.8999999999999999,False,4,0,
88,3,Unknown,0.0,34.763336181640625,partial_back,0.5,False,26,0,
90,1,Unknown,0.0,38.45572471618652,partial_back,0.5,False,46,0,
90,4,Unknown,0.0,57.77716636657715,partial_back,0.5,False,5,0,
90,3,Unknown,0.0,18.83530616760254,partial_back,0.5,False,27,0,
92,1,Unknown,0.0,38.312435150146484,partial_back,0.5,False,47,0,
92,4,Unknown,0.0,58.30049514770508,partial_back,0.5,False,6,0,
92,3,Unknown,0.0,15.412092208862305,partial_back,0.5,False,28,0,
92,5,Unknown,0.0,25.176525115966797,back_view,0.7,False,1,0,
94,1,Unknown,0.0,33.8137149810791,partial_back,0.5,False,48,0,
94,4,Unknown,0.0,29.339075088500977,back_view,0.8999999999999999,False,7,0,
94,3,Unknown,0.0,11.997222900390625,partial_back,0.5,False,29,0,
94,5,Unknown,0.0,8.414983749389648,back_view,0.7,False,2,0,
96,1,Unknown,0.0,39.56198692321777,partial_back,0.5,False,49,0,
96,4,Unknown,0.0,52.06942558288574,back_view,0.8999999999999999,False,8,0,
96,3,Unknown,0.0,14.669179916381836,partial_back,0.5,False,30,0,
98,1,Unknown,0.0,34.93666648864746,partial_back,0.5,False,50,0,
98,4,Unknown,0.0,29.125213623046875,partial_back,0.5,False,9,0,
98,3,Unknown,0.0,14.087200164794922,partial_back,0.5,False,31,0,
100,4,Unknown,0.0,51.36227607727051,partial_back,0.5,False,10,0,
100,3,Unknown,0.0,11.404991149902344,partial_back,0.5,False,32,0,
102,4,Unknown,0.0,62.75057792663574,partial_back,0.5,False,10,0,
102,5,Unknown,0.0,14.676094055175781,profile,0.5,False,0,0,
102,1,Unknown,0.0,42.39177703857422,partial_back,0.5,False,51,0,
104,4,Unknown,0.0,30.65013885498047,back_view,0.8999999999999999,False,11,2,
104,3,Unknown,0.0,36.621809005737305,partial_back,0.5,False,33,0,
106,4,Unknown,0.0,47.88470268249512,back_view,0.6000000000000001,False,12,4,
106,6,Unknown,0.0,58.07161331176758,back_view,0.7,False,1,0,
106,3,Unknown,0.0,28.229475021362305,partial_back,0.5,False,34,0,
106,1,Unknown,0.0,50.16160011291504,partial_back,0.5,False,52,0,
108,4,Unknown,0.0,25.989294052124023,back_view,0.6000000000000001,False,13,6,
108,6,Unknown,0.0,25.18320083618164,back_view,0.7,False,2,0,
108,3,Unknown,0.0,18.1887149810791,partial_back,0.5,False,35,0,
108,1,Unknown,0.0,37.522315979003906,partial_back,0.5,False,53,0,
110,4,Unknown,0.0,49.13330078125,back_view,0.6000000000000001,False,14,8,
110,6,Unknown,0.0,19.5772647857666,back_view,0.7,False,3,0,
110,3,Unknown,0.0,40.502071380615234,partial_back,0.5,False,36,0,
110,1,myke,0.7867236289813886,36.000967025756836,back_view,0.8999999999999999,True,0,0,
112,4,Unknown,0.0,33.233642578125,back_view,0.6000000000000001,False,15,10,
112,6,Unknown,0.0,13.363838195800781,back_view,0.7,False,4,0,
112,3,Unknown,0.0,36.75436973571777,partial_back,0.5,False,37,0,
112,1,myke,0.796262199226042,32.31930732727051,partial_back,0.5,True,0,0,
114,4,Unknown,0.0,32.97114372253418,back_view,0.6000000000000001,False,16,12,
114,6,Unknown,0.0,25.876998901367188,back_view,0.7,False,5,0,
114,3,Unknown,0.0,12.62044906616211,partial_back,0.5,False,38,0,
114,1,myke,0.7987499890842608,41.192054748535156,partial_back,0.5,True,1,2,
116,4,Unknown,0.0,24.65987205505371,back_view,0.8999999999999999,False,17,14,
116,6,Unknown,0.0,35.6752872467041,partial_back,0.5,False,6,0,
116,3,Unknown,0.0,21.860122680664062,partial_back,0.5,False,39,0,
116,1,myke,0.8012433185117895,42.08111763000488,partial_back,0.5,True,2,4,
118,4,Unknown,0.0,27.273178100585938,back_view,0.8999999999999999,False,18,16,
118,3,Unknown,0.0,10.841131210327148,partial_back,0.5,False,40,0,
118,1,myke,0.8037421833826163,40.88854789733887,back_view,0.8999999999999999,True,3,6,
120,4,Unknown,0.0,30.3494930267334,back_view,0.8999999999999999,False,19,18,
